score,label
-2,LLM
-2,Human
1,Human
2,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
1,Human
-1,LLM
-1,Human
-3,LLM
-2,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
1,LLM
-1,Human
-1,LLM
-1,Human
0,LLM
-2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
3,Human
1,LLM
-1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
1,LLM
-2,Human
-2,LLM
-3,Human
1,LLM
-2,Human
-3,LLM
-3,Human
2,LLM
1,Human
-2,LLM
-1,Human
-1,LLM
2,Human
-1,LLM
1,Human
-2,LLM
-2,Human
2,LLM
2,Human
2,LLM
3,Human
-1,LLM
-2,Human
2,LLM
2,Human
-1,LLM
1,Human
1,LLM
-1,Human
2,LLM
3,Human
2,LLM
2,Human
2,LLM
1,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-1,Human
2,LLM
2,Human
-3,LLM
-3,Human
3,LLM
3,Human
2,LLM
2,Human
1,LLM
-2,Human
-1,LLM
2,Human
1,LLM
-2,Human
-1,LLM
-1,Human
2,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
2,Human
-2,LLM
-2,Human
2,LLM
1,Human
2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
1,LLM
2,Human
-3,LLM
-1,Human
2,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
1,Human
-2,LLM
-2,Human
-3,LLM
-1,Human
2,LLM
1,Human
0,LLM
-1,Human
3,LLM
3,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
1,Human
2,LLM
2,Human
1,LLM
1,Human
2,LLM
2,Human
1,LLM
2,Human
1,LLM
1,Human
-1,LLM
1,Human
-2,LLM
-3,Human
-1,LLM
-1,Human
-1,LLM
0,Human
-1,LLM
1,Human
1,LLM
1,Human
1,LLM
2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-3,Human
2,LLM
1,Human
-1,LLM
-3,Human
2,LLM
2,Human
0,LLM
1,Human
-2,LLM
-2,Human
1,LLM
-1,Human
2,LLM
2,Human
2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-3,Human
-1,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
-3,Human
1,LLM
2,Human
-2,LLM
-2,Human
2,LLM
2,Human
1,LLM
1,Human
1,LLM
1,Human
-2,LLM
-1,Human
2,LLM
1,Human
2,LLM
2,Human
1,LLM
-1,Human
2,LLM
2,Human
-1,LLM
-1,Human
-1,LLM
2,Human
1,LLM
1,Human
2,LLM
1,Human
-1,LLM
-1,Human
-3,LLM
2,Human
3,LLM
3,Human
1,LLM
2,Human
-2,LLM
-3,Human
2,LLM
3,Human
-2,LLM
2,Human
-2,LLM
-2,Human
3,LLM
3,Human
-1,LLM
-2,Human
1,LLM
1,Human
2,LLM
2,Human
1,LLM
-1,Human
-3,LLM
-3,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
1,LLM
1,Human
2,LLM
1,Human
1,LLM
2,Human
-1,LLM
2,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
-1,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-2,Human
1,LLM
2,Human
2,LLM
2,Human
-3,LLM
-2,Human
1,LLM
-2,Human
1,LLM
3,Human
2,LLM
1,Human
2,LLM
2,Human
2,LLM
2,Human
1,LLM
-1,Human
2,LLM
2,Human
1,LLM
1,Human
-2,LLM
-2,Human
2,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
0,LLM
2,Human
1,LLM
1,Human
2,LLM
3,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
-3,LLM
-3,Human
-1,LLM
-2,Human
2,LLM
2,Human
-2,LLM
2,Human
1,LLM
0,Human
2,LLM
2,Human
-1,LLM
-3,Human
2,LLM
3,Human
-2,LLM
-1,Human
2,LLM
2,Human
-2,LLM
-2,Human
3,LLM
2,Human
-3,LLM
-3,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
2,LLM
1,Human
3,LLM
2,Human
1,LLM
-2,Human
-2,LLM
-1,Human
-3,LLM
-2,Human
-2,LLM
-2,Human
-1,LLM
2,Human
-2,LLM
-2,Human
1,LLM
3,Human
-1,LLM
-1,Human
-1,LLM
-1,Human
1,LLM
2,Human
-1,LLM
-1,Human
1,LLM
1,Human
-1,LLM
2,Human
2,LLM
1,Human
2,LLM
3,Human
2,LLM
3,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-2,Human
1,LLM
1,Human
2,LLM
2,Human
-1,LLM
3,Human
-1,LLM
-2,Human
-3,LLM
-3,Human
-2,LLM
-2,Human
-3,LLM
-1,Human
2,LLM
2,Human
-2,LLM
-2,Human
1,LLM
1,Human
1,LLM
-1,Human
2,LLM
2,Human
2,LLM
2,Human
1,LLM
3,Human
-1,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
0,LLM
-1,Human
1,LLM
2,Human
1,LLM
1,Human
1,LLM
-1,Human
-1,LLM
-1,Human
3,LLM
3,Human
1,LLM
1,Human
2,LLM
2,Human
1,LLM
2,Human
2,LLM
2,Human
-3,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
2,Human
1,LLM
2,Human
2,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
1,Human
1,LLM
1,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
-2,LLM
2,Human
-2,LLM
-1,Human
-1,LLM
1,Human
-1,LLM
-3,Human
2,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
1,LLM
-2,Human
-1,LLM
-2,Human
-1,LLM
0,Human
1,LLM
2,Human
2,LLM
2,Human
2,LLM
3,Human
2,LLM
2,Human
0,LLM
-1,Human
-1,LLM
-1,Human
1,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
-1,Human
0,LLM
-1,Human
1,LLM
-1,Human
1,LLM
3,Human
1,LLM
1,Human
2,LLM
3,Human
1,LLM
2,Human
-1,LLM
-1,Human
0,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
1,LLM
1,Human
2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
-2,LLM
2,Human
2,LLM
2,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
1,LLM
2,Human
0,LLM
-1,Human
-1,LLM
3,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-3,LLM
-3,Human
2,LLM
3,Human
-1,LLM
-2,Human
1,LLM
2,Human
2,LLM
2,Human
1,LLM
2,Human
1,LLM
1,Human
-2,LLM
-1,Human
1,LLM
2,Human
1,LLM
-1,Human
2,LLM
2,Human
-3,LLM
-3,Human
-2,LLM
-2,Human
2,LLM
2,Human
3,LLM
2,Human
0,LLM
1,Human
-1,LLM
2,Human
-1,LLM
-1,Human
1,LLM
2,Human
2,LLM
-1,Human
-3,LLM
-2,Human
1,LLM
2,Human
-3,LLM
-2,Human
2,LLM
1,Human
2,LLM
3,Human
-2,LLM
-2,Human
-3,LLM
-2,Human
-2,LLM
-3,Human
2,LLM
2,Human
1,LLM
2,Human
-1,LLM
3,Human
-2,LLM
-1,Human
-1,LLM
2,Human
2,LLM
3,Human
2,LLM
-2,Human
2,LLM
2,Human
-1,LLM
1,Human
-1,LLM
2,Human
-1,LLM
-2,Human
2,LLM
2,Human
2,LLM
2,Human
0,LLM
-2,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
-1,LLM
-1,Human
-3,LLM
-3,Human
2,LLM
2,Human
1,LLM
-2,Human
-1,LLM
-2,Human
1,LLM
2,Human
2,LLM
1,Human
-1,LLM
2,Human
1,LLM
2,Human
1,LLM
-1,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
1,LLM
1,Human
2,LLM
3,Human
2,LLM
2,Human
2,LLM
-2,Human
2,LLM
2,Human
0,LLM
1,Human
-2,LLM
-1,Human
2,LLM
3,Human
-1,LLM
-1,Human
-1,LLM
1,Human
2,LLM
-2,Human
-3,LLM
-2,Human
2,LLM
1,Human
2,LLM
0,Human
2,LLM
3,Human
-1,LLM
2,Human
1,LLM
-1,Human
-1,LLM
-2,Human
-2,LLM
-1,Human
0,LLM
1,Human
-2,LLM
-2,Human
2,LLM
3,Human
-1,LLM
1,Human
2,LLM
0,Human
2,LLM
2,Human
-2,LLM
-2,Human
2,LLM
2,Human
3,LLM
3,Human
2,LLM
3,Human
-1,LLM
-1,Human
-1,LLM
-2,Human
1,LLM
-1,Human
2,LLM
-2,Human
-1,LLM
-1,Human
-3,LLM
-3,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-2,Human
2,LLM
2,Human
1,LLM
-2,Human
0,LLM
1,Human
-2,LLM
-2,Human
2,LLM
2,Human
-1,LLM
-3,Human
2,LLM
0,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
1,LLM
-1,Human
-1,LLM
1,Human
2,LLM
2,Human
1,LLM
1,Human
2,LLM
3,Human
1,LLM
-2,Human
1,LLM
1,Human
1,LLM
1,Human
2,LLM
2,Human
-2,LLM
-2,Human
-3,LLM
-2,Human
1,LLM
1,Human
1,LLM
2,Human
-1,LLM
1,Human
3,LLM
2,Human
-2,LLM
-2,Human
3,LLM
2,Human
3,LLM
-3,Human
1,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-2,Human
2,LLM
3,Human
-2,LLM
-3,Human
1,LLM
1,Human
2,LLM
1,Human
1,LLM
-1,Human
-2,LLM
3,Human
-2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
-1,LLM
-2,Human
1,LLM
1,Human
0,LLM
-2,Human
1,LLM
2,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
1,LLM
-1,Human
-3,LLM
-3,Human
-1,LLM
-3,Human
3,LLM
2,Human
-1,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
1,LLM
-1,Human
2,LLM
2,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
2,LLM
-2,Human
1,LLM
2,Human
-1,LLM
1,Human
1,LLM
2,Human
2,LLM
1,Human
2,LLM
-3,Human
2,LLM
-3,Human
0,LLM
-1,Human
-1,LLM
1,Human
-1,LLM
-1,Human
2,LLM
2,Human
1,LLM
2,Human
1,LLM
1,Human
1,LLM
2,Human
1,LLM
1,Human
2,LLM
2,Human
-1,LLM
-2,Human
2,LLM
2,Human
-1,LLM
2,Human
2,LLM
3,Human
0,LLM
2,Human
-1,LLM
-1,Human
-2,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-3,Human
-2,LLM
-3,Human
2,LLM
2,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
1,LLM
1,Human
3,LLM
3,Human
-1,LLM
-1,Human
2,LLM
2,Human
-3,LLM
-3,Human
2,LLM
2,Human
1,LLM
1,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
1,LLM
2,Human
-2,LLM
-2,Human
2,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
0,LLM
1,Human
-1,LLM
1,Human
-1,LLM
-2,Human
-2,LLM
-1,Human
2,LLM
2,Human
-3,LLM
-3,Human
-1,LLM
0,Human
2,LLM
2,Human
1,LLM
1,Human
3,LLM
2,Human
2,LLM
2,Human
-3,LLM
-3,Human
-1,LLM
-2,Human
1,LLM
-1,Human
-2,LLM
-1,Human
2,LLM
2,Human
-2,LLM
-2,Human
2,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
-1,LLM
1,Human
2,LLM
2,Human
-2,LLM
-2,Human
2,LLM
2,Human
1,LLM
1,Human
-3,LLM
-2,Human
1,LLM
-1,Human
-1,LLM
-1,Human
2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
0,LLM
1,Human
3,LLM
3,Human
-1,LLM
-2,Human
-1,LLM
-2,Human
0,LLM
-1,Human
-2,LLM
1,Human
2,LLM
2,Human
1,LLM
2,Human
-1,LLM
1,Human
1,LLM
1,Human
-2,LLM
-2,Human
2,LLM
2,Human
1,LLM
1,Human
3,LLM
3,Human
-3,LLM
3,Human
-2,LLM
-2,Human
2,LLM
3,Human
2,LLM
2,Human
1,LLM
1,Human
1,LLM
-1,Human
2,LLM
2,Human
2,LLM
-1,Human
2,LLM
1,Human
0,LLM
-1,Human
-2,LLM
-3,Human
-2,LLM
3,Human
0,LLM
0,Human
-2,LLM
-1,Human
-1,LLM
-1,Human
-1,LLM
-2,Human
2,LLM
3,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
2,LLM
-2,Human
-2,LLM
3,Human
-1,LLM
1,Human
-1,LLM
-2,Human
2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
2,Human
-1,LLM
-2,Human
2,LLM
3,Human
2,LLM
2,Human
2,LLM
-2,Human
-1,LLM
-1,Human
-2,LLM
-3,Human
2,LLM
3,Human
-1,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
1,Human
2,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
2,Human
2,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
2,LLM
2,Human
2,LLM
3,Human
-1,LLM
1,Human
-1,LLM
2,Human
-3,LLM
-2,Human
-1,LLM
1,Human
1,LLM
1,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
2,LLM
-2,Human
1,LLM
0,Human
1,LLM
-2,Human
1,LLM
1,Human
1,LLM
1,Human
2,LLM
1,Human
-2,LLM
-1,Human
-1,LLM
-2,Human
-1,LLM
-1,Human
2,LLM
2,Human
2,LLM
3,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
2,LLM
-2,Human
2,LLM
3,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
-2,LLM
-3,Human
2,LLM
1,Human
0,LLM
-1,Human
-2,LLM
-1,Human
-1,LLM
1,Human
-2,LLM
2,Human
2,LLM
1,Human
2,LLM
1,Human
1,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
1,Human
-2,LLM
-3,Human
-2,LLM
-3,Human
2,LLM
2,Human
1,LLM
-2,Human
-3,LLM
2,Human
-2,LLM
-2,Human
0,LLM
-2,Human
1,LLM
2,Human
1,LLM
2,Human
-3,LLM
-2,Human
-1,LLM
-1,Human
2,LLM
1,Human
-1,LLM
-2,Human
1,LLM
-2,Human
1,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
0,LLM
-2,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-3,LLM
-2,Human
1,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
-1,LLM
1,Human
2,LLM
1,Human
1,LLM
1,Human
-1,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
1,Human
2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
2,LLM
1,Human
-1,LLM
-2,Human
-2,LLM
2,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
-2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
2,Human
-3,LLM
-2,Human
-2,LLM
-2,Human
-1,LLM
2,Human
-2,LLM
3,Human
2,LLM
1,Human
3,LLM
2,Human
-1,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-2,Human
2,LLM
1,Human
-1,LLM
0,Human
2,LLM
1,Human
2,LLM
-2,Human
-1,LLM
-2,Human
3,LLM
3,Human
2,LLM
2,Human
2,LLM
-2,Human
-1,LLM
-1,Human
3,LLM
2,Human
1,LLM
2,Human
2,LLM
2,Human
3,LLM
3,Human
-2,LLM
-3,Human
1,LLM
2,Human
2,LLM
3,Human
-2,LLM
-1,Human
2,LLM
2,Human
2,LLM
-2,Human
2,LLM
3,Human
-3,LLM
-3,Human
-2,LLM
-2,Human
1,LLM
-2,Human
1,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-3,Human
1,LLM
2,Human
0,LLM
-1,Human
2,LLM
1,Human
1,LLM
-1,Human
1,LLM
2,Human
-3,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
-2,Human
-2,LLM
-1,Human
2,LLM
2,Human
3,LLM
3,Human
2,LLM
2,Human
1,LLM
3,Human
2,LLM
1,Human
2,LLM
2,Human
2,LLM
1,Human
-2,LLM
-2,Human
1,LLM
3,Human
-1,LLM
2,Human
1,LLM
2,Human
-2,LLM
-3,Human
2,LLM
-2,Human
1,LLM
1,Human
2,LLM
3,Human
0,LLM
3,Human
-3,LLM
3,Human
0,LLM
-3,Human
1,LLM
1,Human
0,LLM
-1,Human
0,LLM
-2,Human
2,LLM
-1,Human
2,LLM
2,Human
0,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
1,Human
1,LLM
1,Human
-1,LLM
-2,Human
1,LLM
2,Human
1,LLM
1,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
1,LLM
1,Human
-3,LLM
-3,Human
-2,LLM
-2,Human
0,LLM
1,Human
-1,LLM
-2,Human
2,LLM
3,Human
-2,LLM
-3,Human
2,LLM
2,Human
2,LLM
2,Human
1,LLM
3,Human
2,LLM
3,Human
-1,LLM
-2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
3,Human
1,LLM
1,Human
-2,LLM
-3,Human
-2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
2,LLM
1,Human
-3,Human
-2,LLM
3,Human
-1,LLM
-1,Human
-3,LLM
-3,Human
-2,LLM
-1,Human
-1,LLM
-1,Human
2,LLM
-1,Human
-2,LLM
3,Human
-1,LLM
-1,Human
-3,LLM
-1,Human
-3,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
1,LLM
1,Human
1,LLM
1,Human
0,LLM
-1,Human
-1,LLM
2,Human
0,LLM
-1,Human
3,LLM
3,Human
2,LLM
2,Human
1,LLM
-1,Human
2,LLM
2,Human
1,LLM
-2,Human
2,LLM
1,Human
0,LLM
-1,Human
-2,LLM
1,Human
-2,LLM
2,Human
-1,LLM
-1,Human
2,LLM
-2,Human
-1,LLM
-2,Human
1,LLM
2,Human
0,LLM
1,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
-2,LLM
-2,Human
-3,LLM
-2,Human
1,LLM
1,Human
0,LLM
2,Human
2,LLM
-3,Human
-2,LLM
-2,Human
-1,LLM
-3,Human
-2,LLM
-3,Human
-3,LLM
-3,Human
-2,LLM
2,Human
2,LLM
2,Human
-3,LLM
-3,Human
2,LLM
2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
-2,Human
2,LLM
2,Human
1,LLM
-2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-2,Human
3,LLM
3,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
3,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-1,Human
-2,LLM
-1,Human
2,LLM
3,Human
1,LLM
-2,Human
-1,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
2,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
3,LLM
2,Human
1,LLM
2,Human
-2,LLM
-2,Human
2,LLM
2,Human
1,LLM
1,Human
-2,LLM
-2,Human
2,LLM
1,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
-1,LLM
-1,Human
2,LLM
2,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
-1,Human
1,LLM
1,Human
-1,LLM
-1,Human
1,LLM
1,Human
-2,LLM
1,Human
2,LLM
1,Human
-1,LLM
-2,Human
-1,LLM
-2,Human
1,LLM
0,Human
-2,LLM
1,Human
-2,LLM
-2,Human
2,LLM
-2,Human
1,LLM
-2,Human
-1,LLM
-1,Human
-3,LLM
-3,Human
1,LLM
3,Human
2,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
1,Human
-2,LLM
2,Human
1,LLM
2,Human
2,LLM
3,Human
0,LLM
1,Human
-1,LLM
2,Human
-1,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-1,Human
-3,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-2,Human
1,LLM
-1,Human
-3,LLM
-2,Human
3,LLM
3,Human
1,LLM
2,Human
-2,LLM
-1,Human
1,LLM
1,Human
-1,LLM
-2,Human
0,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
-1,Human
-1,LLM
1,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
-1,LLM
-2,Human
0,LLM
-1,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
3,LLM
3,Human
-1,LLM
-3,Human
0,LLM
1,Human
2,LLM
2,Human
1,LLM
-3,Human
-2,LLM
-2,Human
1,LLM
2,Human
-3,LLM
3,Human
1,LLM
-2,Human
-1,LLM
0,Human
-3,LLM
-3,Human
2,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
2,Human
2,LLM
3,Human
-3,LLM
-2,Human
2,LLM
1,Human
3,LLM
3,Human
2,LLM
-1,Human
-2,LLM
-3,Human
2,LLM
1,Human
2,LLM
2,Human
2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
-2,LLM
2,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
1,LLM
-1,Human
1,LLM
2,Human
0,LLM
-1,Human
1,LLM
2,Human
-2,LLM
-2,Human
1,LLM
2,Human
-2,LLM
2,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-3,LLM
-2,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
2,LLM
2,Human
2,LLM
-1,Human
2,LLM
3,Human
-2,LLM
-1,Human
2,LLM
3,Human
2,LLM
1,Human
2,LLM
2,Human
-1,LLM
2,Human
3,LLM
3,Human
-1,LLM
2,Human
-1,LLM
-1,Human
-2,LLM
2,Human
-2,LLM
-3,Human
-2,LLM
-1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
3,LLM
2,Human
2,LLM
2,Human
-1,LLM
2,Human
3,LLM
2,Human
2,LLM
1,Human
1,LLM
2,Human
2,LLM
1,Human
1,LLM
-2,Human
1,LLM
-2,Human
-2,LLM
-3,Human
2,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
3,Human
2,LLM
3,Human
2,LLM
2,Human
2,LLM
-1,Human
-3,LLM
-3,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
3,LLM
3,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-2,Human
2,LLM
2,Human
1,LLM
2,Human
-2,LLM
-1,Human
2,LLM
-2,Human
-2,LLM
-1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
1,LLM
-1,Human
-1,LLM
-1,Human
0,LLM
-1,Human
-2,LLM
-1,Human
-1,LLM
-2,Human
-1,LLM
1,Human
-1,LLM
1,Human
-2,LLM
-1,Human
2,LLM
2,Human
1,LLM
1,Human
1,LLM
2,Human
-2,LLM
-3,Human
-2,LLM
-2,Human
1,LLM
1,Human
-3,LLM
-2,Human
1,LLM
-1,Human
-2,LLM
-2,Human
0,LLM
1,Human
1,LLM
2,Human
2,LLM
3,Human
1,LLM
-1,Human
3,LLM
3,Human
1,LLM
-3,Human
2,LLM
2,Human
1,LLM
1,Human
2,LLM
2,Human
-1,LLM
1,Human
1,LLM
1,Human
1,LLM
2,Human
-3,LLM
-2,Human
1,LLM
1,Human
2,LLM
1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
2,Human
-2,LLM
2,Human
-1,LLM
-2,Human
1,LLM
-1,Human
1,LLM
-3,Human
-3,LLM
1,Human
1,LLM
1,Human
-1,LLM
-2,Human
2,LLM
-1,Human
1,LLM
-3,Human
-2,LLM
-3,Human
1,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
2,LLM
2,Human
1,LLM
-2,Human
2,LLM
2,Human
2,LLM
2,Human
2,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-3,Human
-1,LLM
-2,Human
1,LLM
1,Human
-1,LLM
-1,Human
-3,LLM
-3,Human
1,LLM
0,Human
-1,LLM
-1,Human
-3,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-2,Human
0,LLM
-2,Human
-1,LLM
-1,Human
-1,LLM
3,Human
1,LLM
2,Human
-2,LLM
-1,Human
2,LLM
3,Human
2,LLM
3,Human
1,LLM
1,Human
1,LLM
2,Human
-1,LLM
-1,Human
1,LLM
1,Human
-3,LLM
-3,Human
2,LLM
3,Human
1,LLM
2,Human
1,LLM
2,Human
1,LLM
1,Human
-1,LLM
-2,Human
1,LLM
1,Human
-3,LLM
-2,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
-2,LLM
2,Human
0,LLM
1,Human
2,LLM
1,Human
-3,LLM
-2,Human
-1,LLM
-2,Human
2,LLM
2,Human
-1,LLM
1,Human
1,LLM
2,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
-1,Human
-3,LLM
-2,Human
-1,LLM
2,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
0,LLM
1,Human
-2,LLM
2,Human
0,LLM
1,Human
0,LLM
1,Human
-1,LLM
1,Human
1,LLM
3,Human
-2,LLM
-2,Human
-2,LLM
-3,Human
-1,LLM
-3,Human
-2,LLM
-2,Human
-2,LLM
-1,Human
-3,LLM
-3,Human
2,LLM
2,Human
-2,LLM
-1,Human
-1,LLM
-2,Human
-1,LLM
2,Human
1,LLM
-1,Human
-1,LLM
3,Human
-1,LLM
-2,Human
1,LLM
1,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
-3,LLM
-3,Human
-2,LLM
-2,Human
-1,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
3,Human
2,LLM
2,Human
1,LLM
1,Human
1,LLM
1,Human
-1,LLM
-1,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
-2,LLM
-2,Human
2,LLM
2,Human
-2,LLM
-1,Human
-1,LLM
0,Human
-3,LLM
-3,Human
-2,LLM
-1,Human
-2,LLM
